plot_size_hectares,soil_ph,soil_type,planned_crop_family,planned_nitrogen_demand,ph_distance_from_ideal,soil_type_match,same_family_repeat_count,heavy_feeder_streak,seasons_since_nitrogen_fixer,rotation_length,planned_crop,previous_crops,risk_level,should_rotate,risk_score
32.01,4.31,sandy,legume,1,1.69,0,0,0,1,1,soybean,carrot,medium,0,3.54
1.69,4.6,loam,nightshade,2,0.9,1,0,0,1,3,pepper,pepper|soybean|carrot,medium,0,2.11
11.1,6.73,clay,allium,2,0,0,0,0,0,3,onion,carrot|tomato|peas,low,0,1.33
19.06,5.74,sandy,brassica,3,0.26,0,0,1,1,1,cabbage,corn,medium,0,4.32
48.66,5.83,sandy,aster,2,0.17,0,0,0,0,3,lettuce,clover|lettuce|peas,low,1,0.71
14.54,4.54,loam,aster,2,1.46,1,0,0,0,1,lettuce,beans,low,0,1.13
8.22,5.73,sandy,umbellifer,1,0.27,1,0,2,4,4,carrot,broccoli|wheat|cabbage|broccoli,high,1,5.28
19.03,8.45,loam,brassica,3,1.45,1,0,0,2,2,broccoli,onion|onion,medium,0,3.61
40.27,5.93,clay,legume,1,0.07,0,1,0,0,4,soybean,cabbage|clover|carrot|peas,medium,1,3.02
32.18,4.81,loam,legume,1,1.19,1,0,0,1,3,soybean,pepper|beans|carrot,medium,0,2.04
20.03,5.14,loam,nightshade,2,0.36,1,0,1,2,2,pepper,onion|corn,medium,0,3.21
29.86,5.85,silt,nightshade,2,0,0,1,0,1,1,pepper,pepper,medium,1,3.34
0.67,7.3,sandy,allium,2,0.3,1,0,1,1,3,onion,wheat|beans|tomato,medium,0,2.57
48.6,7.48,clay,aster,2,0.48,0,0,0,3,3,lettuce,lettuce|broccoli|pepper,medium,0,3.02
38.15,6.52,clay,brassica,3,0,1,0,0,2,2,cabbage,corn|wheat,medium,0,2.71
2.99,7.98,clay,grain,2,0.98,1,0,0,3,3,wheat,lettuce|wheat|onion,low,0,1.85
33.02,8.27,loam,legume,1,1.27,1,0,2,2,2,beans,cabbage|tomato,high,1,6.16
34.52,7.27,silt,brassica,3,0.27,0,0,0,1,3,broccoli,potato|clover|pepper,medium,0,2.11
3.29,4.29,loam,brassica,3,1.71,1,0,0,1,1,cabbage,wheat,medium,0,2.51
3.64,5.22,silt,legume,1,0.78,1,1,0,0,2,soybean,carrot|clover,medium,1,2.22
28.85,5.24,silt,allium,2,0.76,0,0,0,2,2,onion,wheat|wheat,medium,0,2.5
2.8,7.01,clay,grain,3,0.01,0,0,0,1,2,corn,peas|onion,low,0,1.74
9.59,6.13,silt,grain,3,0,1,0,0,0,1,rice,soybean,low,0,0.97
4.99,7,clay,grain,2,0,1,0,2,2,4,wheat,lettuce|soybean|rice|tomato,medium,1,4.03
10.77,5.92,clay,grain,3,0,1,0,0,0,2,rice,tomato|beans,low,0,1.74
36.55,7.57,silt,grain,3,1.07,1,0,0,0,1,rice,soybean,low,0,1.19
27.16,7.42,clay,grain,3,0.42,0,0,0,0,2,corn,pepper|clover,medium,0,2.35
9.37,6.76,loam,nightshade,3,0,1,0,0,0,1,tomato,clover,low,0,0.52
2.08,4.55,sandy,legume,1,1.45,0,0,1,1,1,clover,broccoli,medium,0,3.97
15.07,5.56,clay,grain,3,0.24,0,1,0,2,2,corn,cabbage|wheat,medium,1,4.16
10.74,5.34,sandy,legume,1,0.66,0,0,0,0,0,clover,,low,0,1.55
15.2,8.43,clay,brassica,3,1.43,1,1,1,1,3,broccoli,beans|clover|broccoli,high,1,6.14
43.92,5.34,clay,umbellifer,1,0.66,0,0,0,0,2,carrot,beans|beans,low,0,0.77
13.27,6.3,clay,grain,2,0,1,1,1,1,3,wheat,lettuce|beans|corn,low,1,3.52
31.89,5.33,silt,nightshade,2,0.17,0,0,0,3,3,pepper,pepper|corn|wheat,medium,0,3.84
41.75,6.7,loam,nightshade,3,0,1,0,0,0,1,tomato,beans,low,0,1.37
48.61,4.37,sandy,legume,1,1.63,0,1,0,0,3,soybean,broccoli|wheat|peas,medium,1,4.34
31.07,4.86,loam,aster,2,1.14,1,0,0,1,1,lettuce,onion,low,0,0.49
